id;url;price;rooms;is_apartments;total_area;living_area;kitchen_area;floor;total_floors;material;price_per_sqm;first_floor;last_floor;is_brick;is_panel;is_monolith;repair;has_balcony;log_total_area;log_price
329684208;https://www.cian.ru/sale/flat/329684208;4250000.0;1.0;0;36.1;17.0;11.3;8;10;Кирпичный;117728.53185595568;0;0;1;0;0;1.0;1;3.586292865338835;15.2624295409006
330138514;https://www.cian.ru/sale/flat/330138514;3600000.0;1.0;0;35.1;18.7;8.6;6;9;Блочный;102564.10256410256;0;0;0;0;0;1.0;1;3.55820113047182;15.096444403426338
327513216;https://www.cian.ru/sale/flat/327513216;5870000.0;1.0;0;30.0;18.0;7.0;5;5;Блочный;195666.66666666666;0;1;0;0;0;1.0;0;3.4011973816621555;15.585365191804279
321028050;https://www.cian.ru/sale/flat/321028050;7900000.0;2.0;0;65.0;30.0;12.0;6;10;Кирпичный;121538.46153846153;0;0;1;0;0;1.0;1;4.174387269895637;15.88237331743725
331147325;https://www.cian.ru/sale/flat/331147325;5000000.0;1.0;0;37.7;18.0;12.0;2;6;Кирпичный;132625.99469496022;0;0;1;0;0;1.0;1;3.629660094453965;15.424948470398375
305047062;https://www.cian.ru/sale/flat/305047062;9500000.0;3.0;0;108.5;70.0;14.0;8;16;Монолитный;87557.60368663595;0;0;0;0;1;1.0;1;4.686750172980514;16.06680235657077
330988184;https://www.cian.ru/sale/flat/330988184;3800000.0;2.0;0;42.7;24.0;6.0;5;5;Кирпичный;88992.97423887588;0;1;1;0;0;1.0;1;3.754198920234579;15.150511624696614
330953109;https://www.cian.ru/sale/flat/330953109;2800000.0;2.0;0;48.0;26.2;4.0;1;1;Деревянный;58333.333333333336;1;1;0;0;0;1.0;0;3.871201010907891;14.845129975145433
330742052;https://www.cian.ru/sale/flat/330742052;3650000.0;2.0;0;42.1;27.9;6.3;5;5;Блочный;86698.33729216152;0;1;0;0;0;1.0;1;3.7400477406883357;15.110237725558674
329753821;https://www.cian.ru/sale/flat/329753821;3600000.0;1.0;0;29.9;17.0;6.0;1;5;Блочный;120401.33779264215;1;0;0;0;0;1.0;0;3.3978584803966405;15.096444403426338
328956211;https://www.cian.ru/sale/flat/328956211;4000000.0;3.0;0;62.2;40.0;8.0;5;5;Кирпичный;64308.68167202572;0;1;1;0;0;1.0;1;4.130354999745133;15.201804919084164
326660649;https://www.cian.ru/sale/flat/326660649;5000000.0;1.0;0;31.6;14.3;7.5;7;11;Кирпичный;158227.84810126582;0;0;1;0;0;1.0;1;3.4531571205928664;15.424948470398375
326660646;https://www.cian.ru/sale/flat/326660646;5000000.0;1.0;0;34.5;18.0;9.0;1;10;Кирпичный;144927.53623188406;1;0;1;0;0;1.0;1;3.5409593240373143;15.424948470398375
330735933;https://www.cian.ru/sale/flat/330735933;4450000.0;3.0;0;60.8;48.0;6.0;1;5;Панельный;73190.78947368421;1;0;0;1;0;1.0;0;4.107589788972121;15.308414654142423
